,industry,daily_agg_record_time,company_count,ebitdaUSD,marketCapUSD,totalRevenueUSD,fullTimeEmployees,grossMargins,operatingMargins,ebitdaMargins,profitMargins,earningsGrowth,revenueGrowth,forwardEps,trailingEps,forwardPE,trailingPE,pegRatio,trailingPegRatio,enterpriseToEbitda,enterpriseToRevenue,returnOnEquity,returnOnAssets,heldPercentInstitutions,heldPercentInsiders,debtToEquity,quickRatio,currentRatio,dividendYield,dividendRate,trailingAnnualDividendRate,fiveYearAvgDividendYield,trailingAnnualDividendYield,earningsQuarterlyGrowth,priceToBook,priceToSalesTrailing12Months
67,Insurance—Property & Casualty,2022-09-13 16:00:58.591656+00:00,53,50537440066.66,553678418538.352,548961330228.866,722444.0,0.191,0.062,0.074,0.036,-0.367,-0.034,4.16,1.18,10.998,17.994,1.075,1.442,9.0,0.983,0.053,0.011,0.709,0.045,34.189,0.369,0.679,0.028,1.08,1.16,2.76,0.025,-0.38,1.33,0.963
68,Insurance—Reinsurance,2022-09-13 16:01:01.233810+00:00,12,6433316653.063,109874594870.937,201027275177.174,72929.0,0.097,0.054,0.048,0.038,-0.061,-0.037,10.75,1.705,6.683,13.571,0.545,0.653,10.72,0.53,0.035,0.005,0.547,0.046,43.414,0.752,1.445,0.03,3.2,2.92,2.64,0.03,-0.304,1.033,0.537
69,Insurance—Specialty,2022-09-13 16:01:00.073152+00:00,22,11048686193.384,77626237739.4,50983837110.663,145810.0,0.366,0.151,0.17,0.101,0.312,-0.013,2.93,2.32,7.275,9.31,0.73,,4.768,3.049,0.108,0.024,0.817,0.054,30.551,0.824,1.651,0.023,1.0,1.105,2.04,0.021,0.296,1.097,3.159
70,Integrated Freight & Logistics,2022-09-13 16:00:55.761183+00:00,38,89620005853.558,504552720361.872,785593045144.132,2517286.0,0.191,0.069,0.108,0.052,0.653,0.243,6.65,3.92,14.997,15.766,1.12,1.855,7.939,0.901,0.247,0.069,0.332,0.182,65.291,1.204,1.268,0.021,1.74,1.325,1.34,0.021,0.659,3.39,0.739
71,Internet Content & Information,2022-09-13 16:00:52.722870+00:00,70,333326711590.218,2788842345360.378,1390439437122.986,682700.0,0.567,-0.011,0.06,-0.025,-0.171,0.155,0.89,0.085,11.631,18.891,-0.085,1.323,3.056,1.615,-0.037,-0.006,0.499,0.092,20.454,1.849,2.136,0.013,1.64,1.47,1.025,0.022,-0.168,1.797,1.856
72,Internet Retail,2022-09-13 16:01:00.027092+00:00,52,227780207801.203,2145290036212.624,2779728870888.939,2796830.0,0.431,-0.004,0.018,-0.007,-0.009,0.119,0.89,-0.231,8.94,27.327,0.205,1.583,0.594,0.941,-0.032,-0.005,0.538,0.198,46.499,1.037,1.717,0.02,4.5,2.65,1.605,0.019,-0.086,3.077,0.925
73,Leisure,2022-09-13 16:00:53.057504+00:00,35,87278761706.28,183297955692.968,666267858227.771,285780.0,0.426,0.094,0.13,0.073,-0.067,0.211,2.79,1.31,10.747,21.793,0.42,1.655,9.614,1.879,0.128,0.054,0.571,0.133,54.567,1.077,1.952,0.017,1.9,2.18,1.225,0.018,-0.002,2.233,1.321
74,Lodging,2022-09-13 16:01:02.346466+00:00,20,8901148391.76,156304662894.658,38311491263.673,468349.0,0.464,0.058,0.196,0.037,0.492,0.849,1.86,0.356,22.105,27.316,0.595,0.616,21.868,7.457,0.009,0.006,0.381,0.292,112.548,1.101,1.2,0.014,0.82,1.069,0.32,0.007,0.353,4.107,4.125
75,Lumber & Wood Production,2022-09-13 16:01:02.678123+00:00,5,5607174158.518,20566695394.718,23059591708.74,33716.0,0.393,0.094,0.106,0.069,0.231,0.074,7.28,7.64,12.251,13.295,0.56,,8.607,1.494,0.305,0.159,0.833,0.039,57.404,1.6,3.109,0.011,1.04,0.995,1.05,0.012,0.231,2.979,1.362
76,Luxury Goods,2022-09-13 16:01:01.040776+00:00,19,73533271014.07,795059284712.253,298634304987.704,565689.0,0.655,0.175,0.203,0.107,0.03,0.204,12.13,6.16,11.59,17.771,0.775,1.105,11.258,1.741,0.242,0.086,0.275,0.419,74.293,0.93,1.76,0.02,2.2,3.849,1.58,0.019,-0.055,3.973,1.525
77,Marine Shipping,2022-09-13 16:00:53.965636+00:00,42,146645101001.807,239650918838.601,321103720322.542,253581.0,0.542,0.394,0.477,0.327,1.271,0.427,7.015,4.715,3.122,2.426,0.035,,4.491,1.836,0.312,0.081,0.249,0.284,63.457,1.299,1.738,0.074,2.7,2.305,3.25,0.08,1.308,0.937,0.883
78,Medical Care Facilities,2022-09-13 16:00:59.403676+00:00,60,42195387824.758,315530093475.632,286979571711.447,1718306.0,0.303,0.084,0.118,0.047,-0.185,0.101,1.44,1.38,14.317,21.144,1.345,1.259,13.802,1.955,0.087,0.035,0.723,0.094,78.032,1.147,1.394,0.014,0.8,0.8,1.32,0.02,-0.214,3.1,1.221
79,Medical Devices,2022-09-13 16:00:53.892996+00:00,118,54960561962.056,906003182895.026,255309849139.856,724094.0,0.595,-0.148,0.012,-0.068,-0.043,0.109,-0.18,-0.385,-0.888,34.004,0.99,2.593,-0.254,4.353,-0.105,-0.066,0.716,0.046,28.874,2.77,4.182,0.013,0.93,0.93,1.04,0.013,-0.046,3.423,4.768
80,Medical Distribution,2022-09-13 16:01:01.156467+00:00,11,14786716576.754,132624073991.694,799370137408.911,315331.0,0.138,0.032,0.037,0.016,0.099,0.071,3.625,2.045,13.419,16.009,1.515,1.511,11.329,0.5,0.139,0.037,0.848,0.03,76.577,0.523,1.306,0.019,1.44,1.627,3.01,0.02,0.14,2.285,0.382
81,Medical Instruments & Supplies,2022-09-13 16:00:54.200328+00:00,59,48573766873.799,672106423784.343,184508926260.123,765932.0,0.547,0.148,0.217,0.123,-0.153,0.088,2.69,1.425,21.21,37.494,2.765,3.062,14.411,4.248,0.103,0.051,0.764,0.046,33.12,1.597,2.529,0.011,1.25,1.25,0.945,0.009,-0.114,4.152,4.005
82,Metal Fabrication,2022-09-13 16:01:02.277874+00:00,21,7770409222.387,27535271446.804,82069179443.283,188370.0,0.233,0.089,0.129,0.071,0.173,0.368,3.455,2.48,9.595,11.56,0.57,1.195,8.237,0.917,0.088,0.045,0.826,0.051,55.949,1.054,2.153,0.02,0.84,0.76,2.18,0.021,0.173,1.48,0.796
83,Mortgage Finance,2022-09-13 16:01:00.732591+00:00,16,8502723968.0,108917897657.824,94770094642.344,89035.0,1.0,0.48,0.411,0.241,-0.008,-0.228,5.71,7.335,6.374,5.946,-0.06,,6.615,4.059,0.278,0.032,0.582,0.057,393.144,0.502,2.304,0.021,2.4,0.4,1.435,0.053,-0.01,0.757,0.982
84,Oil & Gas Drilling,2022-09-13 16:01:00.426592+00:00,8,2385842036.152,16480693971.405,10945466582.23,34819.0,0.264,-0.064,0.192,-0.166,0.5,0.466,0.55,-1.581,9.38,13.14,-43.765,3.504,11.678,2.494,-0.109,-0.016,0.684,0.033,65.585,1.336,1.627,0.017,0.58,0.56,3.87,0.016,0.813,1.499,1.974
85,Oil & Gas E&P,2022-09-13 16:00:52.654778+00:00,96,246472970991.932,1076736589138.814,502267515284.912,101060.0,0.727,0.369,0.535,0.267,2.273,0.9,4.42,2.46,4.632,6.592,0.19,0.336,4.389,2.387,0.265,0.11,0.516,0.042,38.881,0.656,0.881,0.027,1.0,0.575,2.935,0.015,2.431,1.967,1.801
86,Oil & Gas Equipment & Services,2022-09-13 16:00:54.668210+00:00,47,20280132087.037,186981838479.478,135199026994.04,425761.0,0.204,0.019,0.086,-0.015,0.741,0.246,0.715,-0.408,12.141,29.837,0.45,0.556,10.079,1.284,0.0,0.009,0.787,0.074,47.848,1.158,1.952,0.019,0.44,0.305,2.93,0.013,1.039,1.269,0.789
87,Oil & Gas Integrated,2022-09-13 16:00:57.280302+00:00,35,2315616966002.144,4251545450475.241,11392023474971.412,2101452.0,0.305,0.137,0.198,0.099,1.174,0.762,5.65,5.38,5.406,5.035,0.11,3.573,2.782,0.626,0.188,0.087,0.079,0.061,43.235,0.827,1.306,0.054,1.95,1.11,4.69,0.031,1.174,0.892,0.457
88,Oil & Gas Midstream,2022-09-13 16:00:53.578471+00:00,58,90708671888.116,598575931912.262,536096390668.008,93040.0,0.384,0.193,0.327,0.073,0.265,0.429,1.965,0.995,10.757,14.603,0.94,1.738,11.4,4.082,0.085,0.044,0.457,0.174,134.616,0.846,1.117,0.063,1.44,1.36,8.305,0.062,0.251,1.728,1.973
89,Oil & Gas Refining & Marketing,2022-09-13 16:00:54.531734+00:00,38,109147262002.857,571733501777.677,1430474355244.959,449012.0,0.111,0.063,0.081,0.039,0.98,0.742,2.975,3.673,9.777,8.105,0.22,0.276,5.74,0.416,0.261,0.059,0.342,0.203,103.759,0.79,1.325,0.043,2.1,1.93,3.9,0.037,0.98,1.79,0.277
90,Other Industrial Metals & Mining,2022-09-13 16:00:52.530474+00:00,49,290652479859.039,750124746110.554,739899137849.919,470613.0,0.452,0.306,0.432,0.238,0.561,0.266,1.66,1.15,6.696,7.934,0.42,1.166,3.292,1.843,0.117,0.062,0.243,0.119,19.586,1.636,3.228,0.066,1.72,1.0,4.195,0.032,0.559,2.322,1.879
91,Other Precious Metals & Mining,2022-09-13 16:00:59.068615+00:00,16,5718607266.333,24210432861.308,14298333315.997,24454.0,0.43,0.181,0.375,0.185,-0.437,-0.084,0.13,0.035,7.176,21.273,0.33,,2.781,2.325,-0.001,0.011,0.235,0.176,4.779,2.76,3.306,0.027,0.26,0.19,3.67,0.013,-0.404,1.707,2.082
92,Packaged Foods,2022-09-13 16:00:55.545698+00:00,101,102388434507.037,1022852501872.494,723816551656.88,2009250.0,0.297,0.081,0.114,0.052,0.064,0.156,3.07,2.45,15.648,21.497,1.355,2.53,12.407,1.53,0.099,0.042,0.385,0.202,62.861,0.853,1.732,0.024,2.08,1.6,1.935,0.024,0.067,2.176,1.145
93,Packaging & Containers,2022-09-13 16:01:00.138637+00:00,33,27067211732.267,164622894159.746,188691382820.37,494258.0,0.23,0.097,0.144,0.055,0.283,0.196,2.885,1.63,10.276,14.463,0.86,1.698,9.745,1.467,0.159,0.05,0.574,0.059,80.322,0.841,1.476,0.025,0.84,0.7,2.58,0.025,0.282,2.665,0.89
94,Paper & Paper Products,2022-09-13 16:00:57.656391+00:00,20,33879957413.124,75650986509.165,95820378391.975,144868.0,0.346,0.141,0.179,0.107,1.349,0.308,3.16,3.62,9.791,8.674,0.975,,9.078,1.347,0.14,0.06,0.468,0.207,81.646,1.195,2.128,0.027,0.93,0.593,3.635,0.038,1.352,1.363,0.899
95,Personal Services,2022-09-13 16:01:02.166481+00:00,16,4995409889.342,55686967633.221,25421333501.561,124676.0,0.438,0.117,0.152,0.06,0.038,0.115,1.59,1.07,15.101,16.688,0.84,0.934,10.443,2.528,0.178,0.048,0.884,0.029,146.893,0.726,1.058,0.016,1.0,0.96,1.38,0.015,0.016,4.212,1.569
96,Pharmaceutical Retailers,2022-09-13 16:00:55.307875+00:00,12,6970561306.028,57316969407.47,191599159959.323,474235.0,0.243,0.04,0.06,0.027,0.199,0.083,4.67,3.435,17.622,22.319,1.32,,12.013,0.674,0.139,0.049,0.486,0.194,52.921,0.518,1.173,0.017,5.28,8.387,1.575,0.013,0.198,3.024,0.68
97,Pollution & Treatment Controls,2022-09-13 16:01:01.675169+00:00,9,1612840076.999,21932493230.811,29817570174.212,21767.0,0.312,0.064,0.146,0.065,0.146,0.166,1.03,0.47,16.335,40.662,1.445,1.084,14.097,2.68,0.093,0.038,0.656,0.102,48.19,1.324,2.671,0.01,0.36,0.36,1.09,0.009,0.128,2.958,2.219
98,Publishing,2022-09-13 16:01:01.976887+00:00,14,7394000486.168,86121039289.165,27794166533.251,125077.0,0.502,0.101,0.151,0.073,0.211,0.145,5.45,1.96,11.643,21.113,0.88,2.363,9.835,2.04,0.099,0.042,0.55,0.093,36.195,0.694,0.876,0.02,0.8,0.556,2.035,0.012,0.318,2.137,1.889
99,REIT—Diversified,2022-09-13 16:00:59.356966+00:00,43,15885722808.694,185741225717.516,26942615682.49,12616.0,0.738,0.559,0.622,0.45,0.346,0.091,0.82,0.78,17.235,13.011,2.035,7.425,18.161,10.865,0.07,0.024,0.638,0.016,74.987,0.98,1.864,0.059,0.755,0.679,5.32,0.048,0.415,1.294,5.333
100,REIT—Healthcare Facilities,2022-09-13 16:01:00.659389+00:00,19,49572266241.045,117737041056.204,19470183053.369,20367.0,0.851,0.355,0.691,0.16,-0.106,0.067,1.015,0.44,24.41,44.816,2.88,0.678,19.54,12.669,0.046,0.028,0.842,0.011,95.309,1.146,2.505,0.052,1.2,1.2,4.93,0.052,-0.067,1.94,8.159
101,REIT—Hotel & Motel,2022-09-13 16:00:59.635570+00:00,17,4833743493.144,39755369036.834,18511150281.789,1239.0,0.301,0.063,0.242,-0.022,2.162,0.865,0.35,-0.812,18.796,38.739,-0.465,,15.841,3.928,-0.006,0.008,0.899,0.021,97.573,1.374,1.927,0.017,0.16,0.065,5.21,0.006,9.758,0.859,2.027
102,REIT—Industrial,2022-09-13 16:01:01.602814+00:00,30,15370537996.448,339633329039.293,25620570498.212,37618.0,0.746,0.481,0.692,0.637,0.081,0.2,1.22,2.275,30.174,23.802,4.015,4.63,24.426,15.997,0.111,0.025,0.793,0.014,64.975,0.641,0.917,0.031,1.15,0.985,3.41,0.028,0.21,1.98,11.688
103,REIT—Mortgage,2022-09-13 16:00:52.795366+00:00,34,,60859054796.0,13425722446.0,14903.0,0.952,0.595,,0.54,-0.006,-0.06,1.45,0.725,7.579,9.521,0.37,0.179,,29.011,0.059,0.011,0.538,0.019,361.926,5.056,5.245,0.123,1.32,1.2,11.32,0.121,0.178,0.861,5.75
104,REIT—Office,2022-09-13 16:01:01.282219+00:00,33,14408746550.695,165363763048.604,27136193508.733,16261.0,0.64,0.242,0.584,0.297,0.083,0.089,0.68,0.9,21.8,19.731,2.21,2.119,18.817,9.54,0.062,0.015,0.866,0.018,78.453,1.158,1.681,0.049,1.11,1.11,3.725,0.049,0.126,0.897,5.474
105,REIT—Residential,2022-09-13 16:01:01.494524+00:00,22,13013749482.746,248182522322.507,26234122891.871,33209.0,0.595,0.201,0.512,0.173,-0.081,0.138,0.665,0.62,38.959,41.256,2.645,1.941,24.349,13.033,0.049,0.017,0.952,0.013,89.347,0.323,0.953,0.031,1.72,1.444,3.195,0.031,-0.206,2.785,9.266
106,REIT—Retail,2022-09-13 16:00:58.545662+00:00,43,21186271043.524,253042449630.778,34595214067.864,18305.0,0.702,0.391,0.618,0.273,0.14,0.066,0.815,0.67,18.817,25.083,2.44,4.535,17.593,11.596,0.052,0.024,0.732,0.022,84.69,0.843,1.147,0.046,0.88,0.836,5.03,0.049,0.179,1.302,6.912
107,REIT—Specialty,2022-09-13 16:01:01.889268+00:00,17,24928174224.0,367819498240.0,52575328104.0,77178.0,0.676,0.326,0.436,0.231,-0.098,0.096,1.93,1.27,22.271,23.025,2.66,2.603,17.041,8.318,0.178,0.038,0.903,0.009,153.617,1.426,1.755,0.036,2.115,1.623,3.68,0.035,0.095,2.592,5.502
108,Railroads,2022-09-13 16:00:58.412915+00:00,28,54601984076.81,591669039891.872,182094958984.255,664297.0,0.26,0.113,0.226,0.045,0.052,0.207,2.91,1.153,16.164,25.714,2.6,1.826,15.291,5.232,0.042,0.013,0.462,0.066,120.453,0.683,1.156,0.013,1.0,0.9,1.7,0.014,0.06,1.93,2.892
109,Real Estate Services,2022-09-13 16:00:57.569257+00:00,67,21387924699.364,702634452940.844,220161428300.449,599653.0,0.676,0.192,0.399,0.204,0.182,0.164,1.445,1.23,10.885,13.442,0.97,1.544,18.802,9.363,0.092,0.02,0.422,0.31,76.87,0.855,1.292,0.027,0.83,0.78,2.75,0.029,0.228,1.231,4.376
110,Real Estate—Development,2022-09-13 16:00:53.279004+00:00,34,97855321143.388,276467867454.526,607152348783.052,640483.0,0.303,0.177,0.18,0.139,0.146,0.095,4.125,2.29,11.368,13.629,1.105,0.748,14.964,4.878,0.073,0.018,0.126,0.662,71.746,0.462,1.721,0.043,0.75,0.65,4.24,0.045,0.168,0.789,2.587
111,Real Estate—Diversified,2022-09-13 16:01:02.233934+00:00,20,12036770685.376,107094508814.845,63612717353.239,104631.0,0.422,0.236,0.327,0.196,0.428,0.216,2.95,2.099,12.625,13.912,1.135,1.899,16.536,7.085,0.054,0.015,0.349,0.329,67.91,0.725,1.567,0.021,0.86,0.83,3.65,0.036,0.409,0.849,2.411
112,Recreational Vehicles,2022-09-13 16:01:02.432935+00:00,14,7440968616.0,34534756688.0,58077753136.0,119558.0,0.255,0.137,0.154,0.089,0.359,0.346,9.24,6.65,6.391,8.968,0.415,0.867,5.226,1.016,0.348,0.138,0.936,0.045,53.757,0.85,2.04,0.02,1.27,1.03,2.14,0.02,0.521,2.207,0.77
113,Rental & Leasing Services,2022-09-13 16:01:01.362657+00:00,29,32835998906.851,151559257432.5,113720483296.049,231267.0,0.45,0.216,0.259,0.111,0.406,0.198,5.48,2.79,7.578,12.02,0.5,0.814,9.295,2.792,0.135,0.049,0.855,0.031,252.879,0.885,1.452,0.033,1.36,1.1,2.5,0.031,0.367,2.092,1.494
114,Residential Construction,2022-09-13 16:01:00.331776+00:00,28,36580250608.12,137934915419.051,200652723344.803,145810.0,0.249,0.169,0.174,0.124,0.496,0.111,11.605,7.16,4.082,5.477,0.4,1.122,4.368,0.75,0.243,0.105,0.858,0.065,39.504,0.661,5.269,0.041,0.85,0.875,1.23,0.015,0.463,1.227,0.626
115,Resorts & Casinos,2022-09-13 16:00:54.268755+00:00,26,12632578419.672,137636275993.582,65226344582.314,386132.0,0.502,0.15,0.235,0.05,-0.042,0.089,1.01,0.566,13.678,14.875,0.48,0.767,11.433,3.47,0.051,0.023,0.662,0.208,236.027,1.655,1.911,0.025,0.6,0.4,2.135,0.007,-0.043,2.257,1.544
116,Restaurants,2022-09-13 16:00:54.777147+00:00,51,34039761822.106,553667138367.237,181338338547.015,2128601.0,0.266,0.072,0.109,0.042,-0.15,0.142,1.67,1.31,15.189,20.996,1.34,1.844,15.667,2.157,0.114,0.045,0.808,0.043,154.414,0.706,0.875,0.021,1.14,1.07,1.88,0.02,-0.19,4.535,1.744
117,Scientific & Technical Instruments,2022-09-13 16:00:52.863991+00:00,34,13691391626.36,254705417839.889,52233863928.853,205329.0,0.468,0.128,0.208,0.12,0.088,0.099,2.855,1.25,16.514,29.966,1.63,1.601,14.43,4.364,0.088,0.039,0.763,0.027,27.998,1.889,2.962,0.009,0.66,0.48,0.42,0.005,0.134,2.912,4.181
118,Security & Protection Services,2022-09-13 16:00:56.022310+00:00,19,7070736327.239,71373057929.621,40277390298.265,457322.0,0.319,0.081,0.124,0.041,0.333,0.15,1.41,0.96,11.653,17.905,1.34,1.493,7.373,1.315,0.088,0.038,0.695,0.076,40.227,1.189,1.787,0.021,0.9,0.897,1.58,0.02,0.337,1.778,1.172
119,Semiconductor Equipment & Materials,2022-09-13 16:00:59.934010+00:00,38,42638874055.684,616048327664.17,135588338045.581,243941.0,0.461,0.241,0.299,0.214,0.361,0.263,5.02,3.79,13.49,20.765,0.99,1.303,10.904,3.7,0.233,0.102,0.726,0.042,13.746,2.382,3.479,0.011,2.5,2.5,1.305,0.011,0.316,4.427,3.902
120,Semiconductors,2022-09-13 16:00:56.201974+00:00,71,1721515364023.486,2191874139020.859,3247912351566.511,919233.0,0.506,0.19,0.283,0.175,0.45,0.249,3.805,2.72,11.526,13.599,0.9,1.07,6.802,2.66,0.205,0.085,0.669,0.034,26.445,1.995,2.948,0.023,2.88,2.803,2.44,0.021,0.455,2.72,2.706
122,Silver,2022-09-13 16:01:02.936281+00:00,6,1074989887.134,7335772965.492,3237398016.0,7110.0,0.299,0.125,0.336,0.012,-0.541,0.058,0.33,0.051,7.152,23.6,-0.805,,2.906,1.534,0.006,0.012,0.367,0.027,1.837,2.832,3.475,0.011,0.03,0.025,0.835,0.011,-0.511,1.38,1.858
123,Software—Application,2022-09-13 16:00:53.735875+00:00,232,-24290049638.702,1713851105442.23,473125465670.396,958835.0,0.658,-0.068,0.006,-0.079,-0.034,0.211,0.35,-0.276,17.017,48.059,1.87,1.95,0.66,4.62,-0.094,-0.021,0.696,0.089,25.672,1.678,1.893,0.015,0.985,0.6,1.28,0.011,0.015,4.239,5.075
124,Software—Infrastructure,2022-09-13 16:00:55.442631+00:00,152,144936070999.751,3170065927649.152,454149843733.891,948669.0,0.677,-0.025,0.067,-0.05,0.073,0.199,0.48,-0.261,14.51,34.549,1.37,1.931,9.353,4.551,-0.065,-0.01,0.747,0.07,40.02,1.397,1.611,0.018,0.63,0.63,1.715,0.017,0.11,4.203,4.219
125,Solar,2022-09-13 16:00:56.987115+00:00,18,3499145904.537,97822340278.58,79779862442.381,82370.0,0.169,-0.059,-0.016,-0.062,0.517,0.474,0.66,-0.358,22.957,72.865,0.855,1.068,-3.757,3.2,-0.111,-0.023,0.49,0.083,111.641,1.019,1.726,,,,,,0.528,2.437,2.934
126,Specialized Health Services,2022-09-13 16:01:02.567863+00:00,1,4190421.0,56704844.0,29710838.0,83.0,0.656,0.094,0.141,0.057,-0.5,0.059,0.03,0.18,222.667,37.111,,,13.117,1.85,0.401,0.031,0.09,0.511,25.57,0.51,0.656,,,,,,-0.458,12.724,1.886
127,Specialty Business Services,2022-09-13 16:00:57.862478+00:00,42,21090324043.646,319858548606.405,140695456238.6,1689090.0,0.354,0.113,0.155,0.073,0.227,0.136,3.01,0.865,12.741,25.75,1.5,1.63,11.609,1.762,0.109,0.038,0.675,0.05,78.15,1.051,1.291,0.019,1.06,1.039,1.79,0.015,0.244,2.99,1.737
128,Specialty Chemicals,2022-09-13 16:00:56.443589+00:00,114,183612812698.246,1112481033983.347,905590201949.863,1114184.0,0.319,0.125,0.168,0.084,0.175,0.211,6.14,4.49,11.746,21.256,1.08,1.414,9.866,1.621,0.143,0.058,0.553,0.088,52.944,1.116,1.889,0.017,2.02,1.5,2.065,0.02,0.175,2.547,1.362
129,Specialty Industrial Machinery,2022-09-13 16:00:57.726414+00:00,126,95505500090.729,1423068334105.628,711155500043.108,2584082.0,0.339,0.093,0.125,0.069,0.1,0.124,4.67,2.955,15.883,25.448,1.79,1.492,13.722,2.146,0.122,0.046,0.635,0.06,45.028,1.059,1.675,0.016,1.15,1.02,1.49,0.015,0.098,3.115,1.949
130,Specialty Retail,2022-09-13 16:01:00.204704+00:00,67,41898489778.157,441797172187.114,431556337529.927,1121939.0,0.351,0.059,0.093,0.052,-0.061,0.062,3.85,2.045,8.698,14.813,0.605,1.283,7.56,0.929,0.163,0.063,0.696,0.082,103.454,0.63,1.469,0.023,2.5,1.925,1.97,0.016,-0.015,2.895,0.731
131,Staffing & Employment Services,2022-09-13 16:00:53.824104+00:00,26,16076139327.802,259228678143.04,137070725321.524,413953.0,0.293,0.063,0.076,0.043,0.147,0.179,3.285,2.465,13.365,16.6,0.92,1.662,8.001,0.818,0.191,0.067,0.877,0.056,35.466,1.349,1.446,0.019,1.2,0.9,1.87,0.017,0.145,3.618,0.772
132,Steel,2022-09-13 16:00:52.312443+00:00,51,13750115983663.338,295762164533.397,87404394156719.39,792697.0,0.315,0.198,0.221,0.127,0.222,0.262,4.84,9.57,6.988,4.378,0.11,6.227,3.093,0.602,0.314,0.156,0.151,0.593,34.309,0.873,2.023,0.03,2.6,1.01,2.455,0.031,0.215,1.143,0.391
133,Steel & Iron,2022-09-13 16:01:02.891849+00:00,1,18466012.301,229978681.774,177055471.528,1516.0,0.203,0.089,0.104,0.087,-0.395,0.294,22.6,4.34,2.872,14.954,,,14.514,1.514,,,,0.977,29.072,,,,,,,,-0.399,1.528,1.299
134,Telecom Services,2022-09-13 16:00:55.082305+00:00,121,14468806392802.371,3621935909851.046,58298888012520.586,3753318.0,0.516,0.147,0.322,0.101,0.038,0.048,1.04,1.21,13.328,14.459,0.905,1.161,8.004,2.524,0.119,0.041,0.266,0.297,110.112,0.665,0.892,0.041,0.92,1.343,4.205,0.045,0.051,1.937,1.313
135,Telecom Services - Foreign,2022-09-13 16:01:03.127524+00:00,1,6760999936.0,22869950464.0,39155998720.0,101962.0,0.518,0.035,0.173,0.014,-0.959,-0.008,0.33,0.09,11.939,43.778,,,10.713,1.85,0.029,0.008,0.013,,154.707,0.664,0.916,0.079,0.32,0.3,7.62,0.076,-0.959,0.888,0.581
136,Textile Manufacturing,2022-09-13 16:00:59.568431+00:00,11,2662595571.131,15246139299.744,23105096026.978,97631.0,0.259,0.07,0.101,0.049,0.324,0.18,13.29,3.619,8.348,13.289,-2.77,1.257,7.736,0.897,0.063,0.03,0.15,0.531,59.018,1.076,2.325,0.016,0.92,1.0,2.0,0.02,0.296,0.997,0.539
137,Thermal Coal,2022-09-13 16:00:58.739986+00:00,15,30500111679.246,208758426730.992,99587727891.016,359455.0,0.398,0.265,0.321,0.202,1.788,0.77,11.92,6.819,8.267,6.563,-0.23,,5.848,1.534,0.229,0.087,0.24,0.519,25.661,2.161,2.573,0.071,1.315,1.0,6.91,0.019,1.787,2.193,1.606
138,Tobacco,2022-09-13 16:00:58.922304+00:00,18,55542443878.829,459813772636.578,138718000711.261,315129.0,0.467,0.245,0.284,0.15,-0.003,0.065,3.705,2.41,8.272,13.12,1.99,7.451,8.439,2.975,0.118,0.073,0.257,0.057,9.817,0.807,1.967,0.063,3.46,2.18,5.78,0.061,-0.002,2.611,1.795
139,Tools & Accessories,2022-09-13 16:01:00.850095+00:00,20,10642534748.143,105268124902.905,74326008995.645,278602.0,0.36,0.118,0.138,0.08,0.232,0.135,8.6,6.385,14.531,23.88,0.885,1.399,12.338,1.737,0.137,0.057,0.466,0.108,44.474,0.786,1.832,0.016,2.24,2.19,1.84,0.023,0.278,2.523,1.433
140,Travel Services,2022-09-13 16:00:53.473672+00:00,20,585338729.452,252521260927.588,99417959560.039,382791.0,0.483,-0.052,0.007,-0.084,0.78,1.131,1.66,-1.02,11.976,64.133,0.33,0.317,5.624,3.098,-0.042,-0.01,0.677,0.116,114.117,0.853,1.0,0.032,1.0,0.5,3.69,0.033,0.768,6.214,1.876
141,Trucking,2022-09-13 16:00:55.638363+00:00,16,8570749496.26,68712741768.481,53206198360.208,222026.0,0.201,0.092,0.139,0.069,0.499,0.274,3.535,3.31,10.15,9.531,0.625,4.181,6.146,1.112,0.242,0.081,0.613,0.29,32.578,1.476,1.575,0.011,0.48,0.39,0.83,0.01,0.478,1.876,0.912
142,Uranium,2022-09-13 16:01:02.804362+00:00,6,492516933.0,17808105152.0,2154743284.0,1129.0,0.31,-0.691,-0.644,0.036,2.177,0.57,-0.03,0.03,-50.41,143.718,2.47,,-39.335,45.663,-0.009,-0.036,0.368,0.017,7.182,5.808,9.35,0.003,0.09,0.08,1.01,0.003,2.224,3.79,46.071
143,Utilities—Diversified,2022-09-13 16:00:59.765876+00:00,34,105270473717.471,488923987870.153,738052433882.961,685319.0,0.263,0.139,0.23,0.076,0.208,0.294,1.76,1.77,16.638,19.011,2.86,2.126,12.107,2.691,0.091,0.027,0.445,0.071,119.341,0.634,1.05,0.036,1.12,1.179,3.58,0.035,0.286,1.859,1.449
144,Utilities—Independent Power Producers,2022-09-13 16:01:00.806533+00:00,22,11727573671.239,249803565156.745,591194238732.562,163904.0,0.311,0.149,0.227,0.072,0.275,0.389,2.77,1.9,9.486,14.151,0.765,0.829,10.486,2.593,0.071,0.024,0.199,0.472,151.441,0.477,1.113,0.034,1.255,0.54,4.23,0.035,0.316,1.783,1.088
